obs_ID,year,nest,type,capture,cage,sound_ok,left_before_presence,shorter_obs,former_exchange,close_to_exchange,close_to_ex_comment,current_bout_biased,total_exclusion,comments
1,2011,s303,ex,n,n,y,n,n,NA,NA,,n,,
2,2011,s303,ex,n,n,y,n,n,NA,NA,,n,,
3,2011,s303,ex,n,n,y,n,n,NA,NA,,n,,
4,2011,s303,non,n,n,y,NA,n,n,n,,NA,,
5,2011,s303,non,n,n,y,NA,n,n,n,,NA,,
6,2011,s303,non,n,n,n,NA,n,n,n,,NA,,"check why biased set to n: wrong line, meant obs_ID 2 which we thought is a non too close to an ex, but its more than 30 mins from the ex, so not excluded"
7,2011,s304,ex,n,n,y,n,n,NA,NA,,NA,y,researchers were at nest for half the observation period
8,2011,s304,ex,n,n,y,n,n,NA,NA,,n,,
9,2011,s304,ex,n,n,y,n,n,NA,NA,,n,,
10,2011,s304,ex,n,n,y,n,n,NA,NA,,n,,
11,2011,s304,ex,n,n,y,n,n,NA,NA,,n,,
12,2011,s304,ex,n,n,y,n,y,NA,NA,,n,,
13,2011,s304,ex,n,n,y,n,n,NA,NA,,n,,
14,2011,s304,ex,n,n,y,n,n,NA,NA,,n,,
15,2011,s304,ex,n,n,y,y,n,NA,NA,,n,,
16,2011,s304,ex,n,n,y,n,y,NA,NA,,n,,
17,2011,s304,ex,n,n,y,n,n,NA,NA,,n,,
18,2011,s304,ex,n,n,y,n,n,NA,NA,,n,,
19,2011,s304,ex,n,n,y,y,n,NA,NA,,n,,
20,2011,s304,ex,n,n,y,n,n,NA,NA,,n,,
21,2011,s304,ex,n,n,y,n,n,NA,NA,,n,,
22,2011,s304,ex,n,n,y,n,n,NA,NA,,n,,
23,2011,s304,ex,n,n,y,n,y,NA,NA,,n,,
24,2011,s304,ex,n,n,y,n,n,NA,NA,,n,,
25,2011,s304,ex,n,n,y,n,n,NA,NA,,n,,
26,2011,s304,ex,n,n,y,n,y,NA,NA,,n,,
27,2011,s304,non,n,n,y,NA,n,n,n,,NA,,
28,2011,s304,non,n,n,y,NA,n,n,n,,NA,,
29,2011,s304,non,n,n,y,NA,n,n,n,,NA,,
30,2011,s304,non,n,n,y,NA,n,n,n,,NA,,
31,2011,s304,non,n,n,y,NA,n,n,n,,NA,,
32,2011,s703,ex,n,n,n,y,n,NA,NA,,NA,,
33,2011,s703,ex,n,n,y,n,n,NA,NA,,n,,
34,2011,s703,ex,n,n,n,y,n,NA,NA,,n,,
35,2011,s703,ex,n,n,n,n,n,NA,NA,,n,,
36,2011,s703,ex,n,n,n,y,n,NA,NA,,n,,
37,2011,s703,ex,n,n,n,n,n,NA,NA,,n,,
38,2011,s703,non,n,n,y,NA,n,n,n,,NA,,
39,2011,s703,non,n,n,y,NA,n,n,n,,NA,,
40,2011,s703,non,n,n,y,NA,n,n,n,,NA,,
41,2011,s703,non,n,n,y,NA,n,n,n,,NA,,
42,2011,s703,non,n,n,y,NA,y,n,n,,NA,,
43,2011,s302,ex,n,n,y,n,n,NA,NA,,n,,"check why biased set to n: entered in wron line, meant obs_ID 44 which is a non too close to an ex, it's already excluded."
44,2011,s302,non,n,n,y,NA,n,n,n,,NA,,
45,2011,s302,non,n,n,y,NA,n,n,n,,NA,,
46,2011,s302,non,n,n,y,NA,y,y,y,15min after,NA,y,"video is missing, therefore shorter non observation, was scored as an exchange and is too close to an exchange, we can't really use it"
47,2011,s513,ex,n,n,n,y,n,n,n,,n,,
48,2011,s513,non,n,n,n,NA,n,n,n,,NA,,
49,2011,s710,non,n,n,y,NA,n,y,y,see comment,NA,y,unclear when the exchange happened - both birds around
50,2011,s710,non,n,n,y,NA,n,n,n,,NA,y,exclude because we have no exchange here
51,2012,s313,ex,n,y,y,n,n,NA,NA,,n,,
52,2012,s313,ex,n,y,y,y,n,NA,NA,,n,,
53,2012,s313,non,n,y,y,NA,n,n,n,,NA,,
54,2012,s313,non,n,y,y,NA,n,n,n,,NA,,
55,2012,s314,ex,n,y,y,n,n,NA,NA,,NA,,
56,2012,s314,non,n,y,y,NA,n,n,n,30min after,NA,,
57,2012,s403,ex,n,y,y,n,n,NA,NA,,NA,,
58,2012,s403,ex,n,y,y,n,n,NA,NA,,n,,
59,2012,s403,ex,n,y,y,NA,n,NA,NA,,n,y,unclear whether this is the exchange
60,2012,s403,ex,n,y,y,n,n,NA,NA,,n,,
61,2012,s403,ex,n,y,n,n,y,NA,NA,,n,,
62,2012,s403,ex,n,y,y,n,n,NA,NA,,NA,,
63,2012,s403,ex,n,y,y,n,n,NA,NA,,n,,
64,2012,s403,ex,n,y,y,n,n,NA,NA,,n,,
65,2012,s403,non,n,y,y,NA,n,n,n,,NA,,
66,2012,s403,non,n,y,y,NA,n,n,n,,NA,,
67,2012,s403,non,n,y,y,NA,n,n,n,,NA,,
68,2012,s403,non,n,y,y,NA,n,n,n,,NA,,
69,2012,s403,non,n,y,n,NA,n,n,n,,NA,,
70,2012,s502,ex,n,y,y,n,n,NA,NA,,NA,,
71,2012,s502,ex,n,n,y,n,n,NA,NA,,n,,
72,2012,s502,ex,n,y,y,n,n,NA,NA,,n,,
73,2012,s502,ex,n,n,y,n,n,NA,NA,,n,,
74,2012,s502,ex,n,y,y,n,n,NA,NA,,n,,
75,2012,s502,ex,n,n,y,n,n,NA,NA,,n,,
76,2012,s502,non,n,y,y,NA,n,n,n,,NA,,
77,2012,s502,non,n,y,y,NA,n,n,n,,NA,,
78,2012,s502,non,n,y,y,NA,n,n,n,,NA,,
79,2012,s502,non,n,y,y,NA,n,n,n,,NA,,
80,2012,s502,non,n,y,y,NA,n,n,n,,NA,,
81,2012,s506,ex,n,y,y,n,n,NA,NA,,n,,
82,2012,s506,ex,n,y,y,y,n,NA,NA,,n,,
83,2012,s506,ex,n,y,y,n,n,NA,NA,,n,,
84,2012,s506,ex,n,y,y,n,n,NA,NA,,n,,
85,2012,s506,ex,n,y,y,n,n,NA,NA,,n,,
86,2012,s506,non,n,y,y,NA,n,n,n,,NA,,
87,2012,s506,non,n,y,y,NA,n,n,n,,NA,,
88,2012,s506,non,n,y,y,NA,n,n,n,,NA,,
89,2012,s506,non,n,y,y,NA,n,n,n,,NA,,
90,2012,s506,non,n,y,y,NA,n,n,n,,NA,,
91,2012,s511,ex,n,y,y,n,n,NA,NA,,n,,
92,2012,s511,ex,n,y,y,n,n,NA,NA,,n,,
93,2012,s511,ex,n,y,y,n,n,NA,NA,,n,,
94,2012,s511,ex,n,y,y,n,n,NA,NA,,n,,
95,2012,s511,ex,n,y,y,n,n,NA,NA,,n,,
96,2012,s511,ex,n,y,y,n,n,NA,NA,,n,,
97,2012,s511,ex,n,y,y,n,n,NA,NA,,n,,
98,2012,s511,non,n,y,y,NA,n,n,n,,NA,,
99,2012,s511,non,n,y,y,NA,n,n,n,,NA,,
100,2012,s511,non,n,y,y,NA,n,n,n,,NA,,
101,2012,s511,non,n,y,y,NA,n,n,n,,NA,,
102,2012,s511,non,n,y,y,NA,n,n,n,,NA,,
