obs_ID,observer,year,nest,file_name,type,ex_non_ID,pair_ID,start_time_video,capture,cage,sex,sound_ok,bill_call_visible,reality_dt,video_dt,timespan_before_presence,dt_1st_presence,type_p,dt_1st_call,first_who,reply,call_how_many,call_o_alone ,call_o_pres_arrive ,call_c_pres_arrive,dt_1st_flyoff,number_flyoff,duration_flyoff,dt_arrive,type_a,direction_a,with_calling,o_replies,call_c_int,call_o_int,call_int_1,dt_left,type_l,call_left,current_bout,next_bout,pushoff_int,left_before_presence,call_int_c2,dt_on,call_int_c3,abnormality,file_name_new,comments
1,mb,2011,s303,0APPD8F0,ex,1,1,2011-Jun-28 15:32:42,n,n,f,y,n,,,0:29:05,2011-Jun-28 16:01:47,v,2011-Jun-28 15:58:11,o,n,NA,1,0,0,NA,NA,NA,2011-Jun-28 16:02:26,f,b,n,NA,2,0,2,2011-Jun-28 16:02:37,f,n,593.333,661.417,3,n,2,2011-Jun-28 16:02:42,0,n,,"presence had to be during the time of first call because the bird appears within the frame a minute later; quietly coming to the nest, realizes that partner is still on,  calls intensively and constantly, until the partner leaves (pushes her off the nest)"
2,mb,2011,s303,0APVK7K0; 0APVL7K0,ex,2,2,2011-Jul-01 00:26:49,n,n,m,y,n,,,0:17:14,2011-Jul-01 00:44:03,v,2011-Jul-01 00:40:48,o,n,15,4,11,0,NA,0,0,2011-Jul-01 00:56:45,w,b,y,y,2,3,3,2011-Jul-01 00:56:03,wf,y,830.667,748.7833333,0,n,2,2011-Jul-01 00:56:49,0,n,,
3,mb,2011,s303,0AQ10540; 0AQ11500,ex,3,3,2011-Jul-01 12:55:56,n,n,f,y,n,,,0:10:44,2011-Jul-01 13:06:40,b,2011-Jul-01 13:06:40,c,n,1,0,0,1,2011-Jul-01 12:58:23,2,0:09:34,2011-Jul-01 13:25:34,a,b,y,n,NA,NA,NA,2011-Jul-01 13:25:36,f,n,748.7833333,667.333,0,n,0,2011-Jul-01 13:25:56,0,y,s303_2011_Jul_01_13-25-57,"coming bird arrived before, but exchange failed, so its not antirely new exchange; also based on the acoustic signal, it is unclear whether bird was really present"
4,cm,2011,s303,"0APV07T0, 0APV17V0",non,1,1,2011-Jun-30 18:55:02,n,n,m,y,n,,,0:25:29,NA,NA,2011-Jun-30 19:06:07,o,n,3,3,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n,,this non-exchange should have been on the 28th of Jun but there were no videos available on that date so I took the next possible date
5,cm,2011,s303,"0APVM7K0, 0APVN7M0",non,2,2,2011-Jul-01 01:01:40,n,n,f,y,n,,,0:17:14,NA,NA,NA,NA,n,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n,,
6,cm,2011,s303,0AQ174I0,non,3,3,2011-Jul-01 14:57:00,n,n,m,n,n,,,0:10:44,NA,NA,NA,NA,n,0,0,NA,NA,NA,0,0,NA,,,,,,,,,,,NA,NA,,,,,,,,
7,mb,2011,s304,"0AOBU0D0, 0AOBUGE0",ex,1,,2011-Jun-11 09:36:33,n,n,m,y,n,,,0:29:15,2011-Jun-11 10:05:48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-Jun-11 10:06:19,w,f,n,n,0,0,0,2011-Jun-11 10:06:21,f,n,NA,516.65,0,n,1,2011-Jun-11 10:06:33,1,y,,"incubating bird was disturbed by us about 15 min before exchange, thus it first calls when it arrives back to the nest  2011-Jun-11 09:57:57 ; incubating bird sees the coming one and leaves; coming bird calls about 4 min after sitting as response to a bird that called nearby"
8,mb,2011,s304,0AOCSS60,ex,2,,2011-Jun-11 18:13:29,n,n,f,y,n,,,,2011-Jun-11 18:42:39,b,2011-Jun-11 18:42:39,c,n,NA,NA,0,1,NA,0,0,2011-Jun-11 18:42:41,f,b,n,n,0,0,0,2011-Jun-11 18:43:12,f,n,516.65,350.0166667,0,n,0,2011-Jun-11 18:43:29,0,n,,
9,cm,2011,s304,"0AODFG00, 0AODG020, 0AODGG20, 0AODH010, 0AODHG30",ex,3,,2011-Jun-12 00:03:37,n,n,m,y,n,,,,2011-Jun-12 00:33:20 ,v,NA,NA,NA,0,0,NA,NA,NA,0,0,2011-Jun-12 00:33:20,w,r,n,n,0,0,0,2011-Jun-12 00:33:30,f,y,350.0166667,484.3,1,n,0,2011-Jun-12 00:33:37,0,n,s304_2011_Jun_12_00-33-37,"incubating bird ""whistles"" for 28 seconds at 00:30:36 , the first call I noted is the one when the incubating bird left."
10,cm,2011,s304,"0AOEBJV0, 0AOEC420, 0AOECK50, 0AOED480,0AOEDK90",ex,4,4,2011-Jun-12 08:08:09,n,n,f,y,n,,,0:29:44,2011-Jun-12 08:37:53,v,2011-Jun-12 08:12:13,o,n,2,2,NA,NA,NA,0,0,2011-Jun-12 08:37:53,w,r,n,n,0,0,0,2011-Jun-12 08:37:55,f,n,484.3,513,0,n,0,2011-Jun-12 08:38:09,1,n,s304_2011_Jun_12_08-38-09,it's raining; a bird (maybe the female?) flew over close to the nest at 08:08:10 and 08:36:11
11,cm,2011,s304,"0AOGDF40, 0AOGDV70, 0AOGEFB0, 0AOGEVE0, 0AOGFFH0",ex,5,5,2011-Jun-13 02:50:56,n,n,f,y,n,,,0:29:01,2011-Jun-13 03:20:01,a,2011-Jun-13 03:20:01,c,y,2,0,1,1,NA,0,0,2011-Jun-13 03:20:41,f,r,y,n,3,0,2,2011-Jun-13 03:20:45,f,n,619.167,458.1333333,2,n,0,2011-Jun-13 03:21:00,1,n,s304_2011_Jun_13_03-21-00,bird flying over close to nest at 03:20:01 (female?)
12,cm,2011,s304,"video?, 0AOH9270, video?, 0AOHA2A0, 0AOHAIC0",ex,6,,2011-Jun-13 10:29:21,n,n,m,y,n,,,,2011-Jun-13 10:59:07,v,NA,NA,NA,0,0,NA,NA,NA,0,0,2011-Jun-13 10:59:07,w,b,n,n,0,3,3,2011-Jun-13 10:59:08,f,y,458.1333333,462.6333,1,n,0,2011-Jun-13 10:59:21,0,t,s304_2011_Jun_13_10-59-21,"there are several minutes of video missing, so there is no full record of 30 mintes before the exchange. I should have started at 10:29:08, but had to start at 10:34:47, and then there is a gap in the middle from 10:43:21 to 10:51:54; flying bord close nest at 10:51:56; sounds of vehicles in the back; first call is after the incoming bird arrrived"
13,cm,2011,s304,"0AOL5V00, 0AOL6F30, 0AOL6V60, 0AOL7F90, 0AOL7VC0",ex,7,6,2011-Jun-14 22:10:25,n,n,m,y,n,,,0:29:19,2011-Jun-14 22:39:44,a,2011-Jun-14 22:39:44,c,n,1,0,0,1,NA,0,0,2011-Jun-14 22:40:06,w,b,y,n,0,3,3,2011-Jun-14 22:40:14,f,n,624.25,707.5833333,2,n,3,2011-Jun-14 22:40:25,0,n,s304_2011_Jun_14_22-40-25,
14,cm,2011,s304,"0AOMFIU0, 0AOMG2R0, 0AOMGIP0, 0AOMH2J0, 0AOMHIK0",ex,8,7,2011-Jun-15 09:58:09,n,n,f,y,n,,,0:29:03,2011-Jun-15 10:27:12,v,2011-Jun-15 10:17:27,o,NA,3,3,NA,NA,NA,0,0,2011-Jun-15 10:27:12,f,l,n,n,0,0,0,2011-Jun-15 10:28:00,f,y,707.5833333,545.8833333,1,n,0,2011-Jun-15 10:28:09,1,n,s304_2011_Jun_15_10:28:09,"When the bird on nest called at 10:17:27 there is an answer, I guess it is the coming bird but you can't see it, as I'm not sure I scored the answer with a ?"
15,cm,2011,s304,"0AONF6G0, 0AONFMI0, 0AONGMO0, 0AONH6R0",ex,9,8,2011-Jun-15 19:04:25,n,n,m,y,n,,,0:29:52,2011-Jun-15 19:34:17,v,2011-Jun-15 19:06:31,o,n,8,8,NA,NA,2011-Jun-15 19:06:31,2,0:01:53,2011-Jun-15 19:34:17,w,b,n,n,0,0,0,2011-Jun-15 19:34:02,f,n,545.8833333,788.1166667,0,y,0,2011-Jun-15 19:34:25,0,n,s304_2011_Jun_15_19-34-25,"rain at the beginning; male leaves nest twice for some minutes/seconds: at 19:06:31 with calls coming back at 19:07:41, and at 19:10:17 not calling coming back at 19:11:00"
16,cm,2011,s304,"0AOOTKV0, 0AOOU4O0, 0AOOUKB0, 0AOOV4C0, 0AOOVKB0",ex,10,,2011-Jun-16 08:12:44,n,n,f,y,n,,,,2011-Jun-16 08:42:09,a,2011-Jun-16 08:19:57,o,n,6,6,0,constant,NA,0,0,2011-Jun-16 08:42:39,w,b,n,n,0,0,0,2011-Jun-16 08:42:32,f,n,788.1166667,570.7333,2,n,0,2011-Jun-16 08:42:44,0,n,s304_2011_Jun_16_08-42-44,
17,cm,2011,s304,"0AOPV9A0, 0AOPVA0,???, 0AOQ0PF0",ex,11,,2011-Jun-16 17:43:46,n,n,m,y,n,,,,2011-Jun-16 18:13:19,v,2011-Jun-16 17:47:48,o,n,1,1,NA,NA,NA,0,0,2011-Jun-16 18:13:19,f,l,n,n,1,1,1,2011-Jun-16 18:13:28,f,n,570.7333,735.9833333,0,n,0,2011-Jun-16 18:13:46,2,t,s304_2011_Jun_16_18-13-46,at 17:50:49 male on nest whistles. Video missing:time gap between 18:00:12-18:08:47
18,cm,2011,s304,"0AORA8O0, 0AORAOL0, 0AORB8F0, 0AORBOA0",ex,12,,2011-Jun-17 06:00:25,n,n,f,y,n,,,,2011-Jun-17 06:29:21,v,2011-Jun-17 06:12:40,o,n,9,9,NA,NA,NA,0,0,2011-Jun-17 06:30:19,w,f,n,n,0,0,0,2011-Jun-17 06:29:45 ,f,y,735.9833333,594.6,0,n,1,2011-Jun-17 06:30:25,0,n,s304_2011_Jun_17_06-30-25,"at 6:10:37 bird flew over nest, and at 6:12:53 again with calling and it seemed like the bird on nest answered; when bird on nest flew off the incoming bird followed and reappeared at 6:30:19 "
