obs_ID,observer,year,nest,start_time_video,end_dt,type,partner_present,dt_behaviour,behaviour,who,sex,comments
1,mb,2011,s303,2011-Jun-28 15:32:42,2011-Jun-28 16:02:26,ex,n,2011-Jun-28 15:58:11,c,o,f,"as Martin wrote in the comments of exchange table: new bird must have been present during the first call but was not visible, no bird flies in later from far side of the pond"
2,mb,2011,s303,2011-Jul-01 00:26:49,2011-Jul-01 00:55:36,ex,n,2011-Jul-01 00:40:48,c,o,m,
2,mb,2011,s303,2011-Jul-01 00:26:49,2011-Jul-01 00:55:36,ex,n,2011-Jul-01 00:44:06,c,o,m,
2,mb,2011,s303,2011-Jul-01 00:26:49,2011-Jul-01 00:55:36,ex,n,2011-Jul-01 00:44:07,c,o,m,
2,mb,2011,s303,2011-Jul-01 00:26:49,2011-Jul-01 00:55:36,ex,n,2011-Jul-01 00:44:25,c,o,m,
2,mb,2011,s303,2011-Jul-01 00:26:49,2011-Jul-01 00:55:36,ex,n,2011-Jul-01 00:45:15,c,o,m,
2,mb,2011,s303,2011-Jul-01 00:26:49,2011-Jul-01 00:55:36,ex,n,2011-Jul-01 00:45:19,c,o,m,
2,mb,2011,s303,2011-Jul-01 00:26:49,2011-Jul-01 00:55:36,ex,n,2011-Jul-01 00:46:06,c,o,m,
2,mb,2011,s303,2011-Jul-01 00:26:49,2011-Jul-01 00:55:36,ex,n,2011-Jul-01 00:49:23,c,o,m,
2,mb,2011,s303,2011-Jul-01 00:26:49,2011-Jul-01 00:55:36,ex,n,2011-Jul-01 00:49:57,c,o,m,
2,mb,2011,s303,2011-Jul-01 00:26:49,2011-Jul-01 00:55:36,ex,n,2011-Jul-01 00:51:17,c,o,m,
2,mb,2011,s303,2011-Jul-01 00:26:49,2011-Jul-01 00:55:36,ex,n,2011-Jul-01 00:51:33,c,o,m,
2,mb,2011,s303,2011-Jul-01 00:26:49,2011-Jul-01 00:55:36,ex,n,2011-Jul-01 00:54:57,c,o,m,
3,cm,2011,s303,2011-Jul-01 12:55:56,2011-Jul-01 13:06:40,ex,n,2011-Jul-01 12:58:23,f,o,f,
3,cm,2011,s303,2011-Jul-01 12:55:56,2011-Jul-01 13:06:40,ex,n,2011-Jul-01 13:06:40,c,o,f,
4,cm,2011,s303,2011-Jun-30 18:55:02,2011-Jun-30 19:20:31,non,n,2011-Jun-30 19:06:07,c,o,m,
4,cm,2011,s303,2011-Jun-30 18:55:02,2011-Jun-30 19:20:31,non,n,2011-Jun-30 19:16:03,c,o,m,
